mc_run_id,grouping,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
640,fish_female_20-29,4.709032812,5.193775524,14004.36072,20.18583293,0.615340499,0.291265907,138.5117613,556.1780932,24.1914455,2.774317683,3.296264641,8488.323668,12.06040792,0.433372072,0.17831119,101.8441054,320.3164488,14.51070953,1329,female,fish,20-29
640,fish_female_30-39,4.742144617,5.110300957,14409.63505,20.11389683,0.609526331,0.293314866,137.9711751,571.5843473,24.80985188,2.554435258,2.941614608,8163.643745,11.0354637,0.39401572,0.164240726,92.9939159,310.9935724,13.61981411,2024,female,fish,30-39
640,fish_female_40-49,4.687270743,5.150161189,14050.95556,20.01517003,0.605779032,0.282478516,140.1179168,556.9124165,24.95454901,2.513312003,2.942394774,7960.515302,10.8673713,0.388801849,0.15801755,91.58050574,301.6322844,13.82809815,1689,female,fish,40-49
640,fish_female_50-59,4.646189383,5.06944748,14277.29139,20.49045523,0.586289326,0.277857028,135.4731758,566.5682239,24.98915502,2.508626765,2.842241041,8737.476857,11.926264,0.377846104,0.159429327,83.4087291,337.0076645,14.03546086,946,female,fish,50-59
640,fish_female_60-69,5.091145892,5.611907047,15749.78185,22.6950128,0.66386516,0.307929187,155.4838034,618.4909783,27.34206282,2.854358676,3.244678843,9261.889779,13.02079141,0.435500823,0.182226595,101.6090708,367.2669036,15.79788055,492,female,fish,60-69
640,fish_female_70-79,5.117274271,5.907015534,16746.96656,23.27607462,0.675106591,0.327884302,174.6589053,645.4808161,27.61594014,2.552991972,3.186389307,9772.717812,12.21888117,0.387005797,0.173383257,112.2963729,368.241628,14.7927374,195,female,fish,70-79
640,fish_male_20-29,6.457487621,6.90202488,21044.68935,26.44115382,0.818432091,0.400592844,170.4061138,775.1396098,32.00809848,3.601765844,3.864695034,11866.2942,14.90577068,0.514467085,0.216078216,120.996796,432.8419682,17.91677259,163,male,fish,20-29
640,fish_male_30-39,5.906703539,6.469861506,19725.30609,24.7176123,0.741270104,0.362038128,167.8599533,730.7329955,30.05415345,3.34481828,4.142689913,11473.09987,14.60776232,0.494639316,0.20558387,117.2343901,412.3636316,17.54192396,412,male,fish,30-39
640,fish_male_40-49,5.600723813,6.08473109,17963.19201,23.16099515,0.716082635,0.338596144,162.4802646,670.726078,28.17958003,3.119228541,3.485612804,10485.57994,12.38412777,0.475363496,0.197646832,114.779934,375.7800939,16.06897777,432,male,fish,40-49
640,fish_male_50-59,5.605433328,5.918923146,17629.55086,23.41968911,0.692750189,0.323282046,156.4224201,662.2589195,29.05730844,3.219945495,3.43634481,10430.06838,13.42566533,0.465630996,0.194760881,104.0267195,384.8768967,17.02258567,214,male,fish,50-59
640,fish_male_60-69,5.709143477,6.427689138,18366.05608,24.67953315,0.751353721,0.361376862,175.6253747,698.4861152,29.21275226,3.413506334,4.153994391,12016.27807,15.08230614,0.591447855,0.243788811,137.0758443,431.5023464,16.72047379,159,male,fish,60-69
640,fish_male_70-79,5.924756443,6.889061207,20089.75855,26.91514968,0.779875344,0.371874093,190.1809945,748.6220066,30.68897935,3.295307281,4.118593641,13140.92648,16.22513452,0.496004466,0.219310561,119.1011251,478.5218919,15.7383224,68,male,fish,70-79
640,meat 100+_female_20-29,8.967265155,13.35217221,21935.30794,43.86999464,1.901741706,0.626451534,228.1233952,839.3237977,38.78946484,3.811388357,6.434231913,9606.770086,20.03583788,0.976165509,0.291806844,116.522077,368.2468665,16.78875321,393,female,meat100,20-29
640,meat 100+_female_30-39,8.880205329,13.31079298,22020.15066,43.59144958,1.967020366,0.612411296,229.4550722,832.8697869,38.61593656,3.826454109,6.704152633,9702.326391,19.8408618,1.044017518,0.288843659,134.3020051,364.887703,17.03526854,778,female,meat100,30-39
640,meat 100+_female_40-49,9.146095731,14.11900721,21700.01406,44.81256078,2.141009864,0.612894026,228.3145797,812.0227821,38.38801864,3.828468721,6.745009009,9441.993648,19.77778297,1.067856324,0.274815313,125.9529257,355.8984096,16.71641387,1935,female,meat100,40-49
640,meat 100+_female_50-59,9.284445177,14.34402252,21910.93669,45.57335288,2.223214624,0.607856557,227.4406993,821.6322304,39.33585602,3.817579268,6.683928777,9328.0424,19.63492613,1.064951607,0.262890315,123.1379969,352.4401206,17.25705617,1753,female,meat100,50-59
640,meat 100+_female_60-69,9.492960215,14.45720282,22706.88372,46.12790442,2.267098835,0.619853966,233.7830726,838.9293296,39.90705684,4.132118153,7.298317049,10199.92227,20.91832349,1.183553859,0.277345192,125.7883698,379.9839656,17.35937773,843,female,meat100,60-69
640,meat 100+_female_70-79,10.25536581,15.83355503,24707.86414,49.39024671,2.577202835,0.674573398,259.3256296,899.2924929,43.05565979,4.665937111,8.394000477,10675.90057,22.79005961,1.509792019,0.295090789,143.014915,392.5458903,19.03058364,274,female,meat100,70-79
640,meat 100+_male_20-29,12.85647508,19.66713119,32451.99533,63.37357674,2.864768555,0.977957717,328.5268332,1146.121353,54.88312484,5.784562774,9.877508606,14781.53603,30.55760794,1.524934222,0.494910893,190.2794591,522.432557,25.13581231,132,male,meat100,20-29
640,meat 100+_male_30-39,11.04067931,16.86944597,28799.03688,55.08716707,2.440923987,0.792844655,285.7899045,1037.320159,46.62150555,4.760967539,8.448730632,13691.67477,25.52589293,1.325716728,0.350327479,151.2460377,499.7722914,20.58849963,260,male,meat100,30-39
640,meat 100+_male_40-49,10.58813864,16.69203783,26092.40584,52.78589153,2.462581694,0.741204017,272.7255139,915.4854009,44.00399566,4.415313226,7.748931275,11404.12434,23.6416487,1.169379411,0.323698808,157.1242085,385.5122992,18.69949166,616,male,meat100,40-49
640,meat 100+_male_50-59,10.6883032,16.66451984,25913.33132,52.73258251,2.532295522,0.739026526,263.3939546,922.0543266,44.67072839,4.735240931,8.440765795,12277.48466,25.65798722,1.310534546,0.366673544,153.7099923,426.989925,21.17972268,591,male,meat100,50-59
640,meat 100+_male_60-69,10.62472224,16.73855938,25807.67627,53.0119516,2.577096059,0.724057608,279.0394588,936.4108805,45.38227867,4.363735975,7.951008511,12182.94267,23.36845278,1.226019335,0.330449201,156.4423567,440.3183513,19.9436458,543,male,meat100,60-69
640,meat 100+_male_70-79,11.66306258,18.57526346,27168.14734,57.80826641,2.91354187,0.774724781,319.2868423,989.4579409,47.718874,5.147825775,9.983165406,11929.28131,26.28955451,1.609790527,0.35916374,209.8836378,444.7362346,21.10078625,168,male,meat100,70-79
640,meat <50_female_20-29,4.667926823,5.618483129,13396.33962,20.72778684,0.701179378,0.307929043,136.8707691,535.3037299,23.59467279,2.527749914,3.279230965,7928.804476,11.36503903,0.403887733,0.167811079,100.255405,305.3279373,13.23910225,764,female,meat50,20-29
640,meat <50_female_30-39,4.838182683,5.587845976,14070.78997,21.3804282,0.731718586,0.309842666,140.5705085,553.5754032,24.64027612,2.638663483,3.093329755,8264.274045,11.42819973,0.426094265,0.171083173,97.39406565,322.0864838,14.03983807,1483,female,meat50,30-39
640,meat <50_female_40-49,4.756130886,5.619621281,13467.85975,21.29393594,0.740392822,0.302941714,137.798063,532.5780952,24.40762676,2.357395389,3.007403951,7570.246962,10.65397583,0.387736197,0.155510422,90.04000366,289.5588851,12.74097546,2093,female,meat50,40-49
640,meat <50_female_50-59,4.799758924,5.592999882,13383.842,21.78664195,0.7505066,0.302050111,136.2710056,531.9673838,24.96478136,2.474695861,3.065020826,7618.294096,11.27644625,0.39478129,0.167875852,93.68878575,296.9403783,13.19250037,1698,female,meat50,50-59
640,meat <50_female_60-69,5.084289695,6.013453459,14410.12956,23.36853077,0.818227122,0.32394045,147.8990936,564.3213703,26.63494854,2.444029119,3.131228209,7859.969441,11.3542004,0.404401514,0.165638935,88.01257122,301.614736,13.4202349,1047,female,meat50,60-69
640,meat <50_female_70-79,5.152803405,6.061667578,15260.05152,23.94545729,0.851321729,0.332957394,155.4030026,575.8730281,26.80246081,2.627389031,3.263671257,8563.026435,12.26250263,0.454631921,0.175651381,97.95714708,308.0240715,14.00613775,381,female,meat50,70-79
640,meat <50_male_20-29,5.772379173,6.937565293,17007.35932,25.03736423,0.896013406,0.392607905,160.256225,637.3777208,28.29541838,2.973068329,3.733030604,8926.610081,12.2928081,0.484567803,0.201251489,109.4765639,329.5926942,14.93697883,131,male,meat50,20-29
640,meat <50_male_30-39,5.95071573,6.875261993,19157.01945,25.83686925,0.912237603,0.388722655,165.4681367,700.5308441,29.49355569,3.17463619,3.82630052,11417.25259,14.58692295,0.525198312,0.217868724,111.2941474,417.1418061,16.23295112,370,male,meat50,30-39
640,meat <50_male_40-49,5.800913904,6.755256425,17584.83932,25.04402616,0.889439479,0.366351864,167.397921,647.6364681,29.05050947,3.272854649,3.897123339,11220.13972,13.95922189,0.530452619,0.22030875,134.5736948,389.5258506,16.92437188,448,male,meat50,40-49
640,meat <50_male_50-59,5.622246763,6.752809476,16228.63973,25.05174657,0.889320167,0.360334604,166.5097743,611.3827537,28.52565855,2.68921609,3.609800084,8885.750314,12.85160613,0.487677728,0.197698082,123.0104891,314.8354233,14.38819426,410,male,meat50,50-59
640,meat <50_male_60-69,5.535084926,6.76556687,15929.42391,25.47520358,0.898997278,0.357800086,169.6079374,608.2721585,28.00129851,3.009419253,4.051731817,9636.895944,13.72092469,0.490803067,0.212469869,138.9583873,371.8555987,15.16719252,364,male,meat50,60-69
640,meat <50_male_70-79,6.118352325,7.382928788,17006.64057,27.58507028,0.997863288,0.380453373,193.3738104,646.5863118,30.80812905,3.237638422,4.41492865,9368.02276,14.35007563,0.543213353,0.224801776,149.5575997,358.1317626,17.01810514,143,male,meat50,70-79
640,meat50-99_female_20-29,5.869032662,7.707697595,16155.33249,27.80071776,1.030896895,0.400675434,160.8782155,630.4046881,28.16693497,2.723329234,3.91746978,8307.039439,12.99881217,0.533204151,0.188053958,94.53302174,311.3808248,13.76728507,669,female,meat,20-29
640,meat50-99_female_30-39,5.970986275,7.821132411,16054.65427,28.28984103,1.092452444,0.4046416,168.6804022,627.1650465,28.65632146,2.686094279,3.909961153,7860.414747,13.11638165,0.537027194,0.196582646,108.0502774,308.6060124,13.6059117,1350,female,meat,30-39
640,meat50-99_female_40-49,6.076526256,8.111255233,15901.34076,28.74954895,1.151486321,0.399921373,167.4999857,614.250731,29.00443072,2.691948455,3.921249064,7841.674618,12.91629426,0.550825406,0.185177643,105.6393523,297.6987457,13.41558959,2710,female,meat,40-49
640,meat50-99_female_50-59,6.031077025,7.980296818,15605.53967,28.6391285,1.159357137,0.391554443,162.6831954,606.119501,29.15825901,2.582686984,3.77201118,7220.147384,12.24050763,0.554379785,0.175684168,91.32036002,278.7946795,12.92823602,2682,female,meat,50-59
640,meat50-99_female_60-69,6.337896133,8.267839765,16718.42219,30.18374082,1.204085592,0.412968554,177.8466849,642.6612625,30.97063649,2.827191237,4.152462249,8104.615432,13.46732333,0.577141871,0.19946989,114.1914021,311.5200373,14.18487069,1456,female,meat,60-69
640,meat50-99_female_70-79,6.672627797,9.112555095,18342.19712,32.08832516,1.311151999,0.443274923,200.4588481,680.4478817,32.0409316,2.963063103,4.754098687,9184.9005,14.18757968,0.658844242,0.212708794,125.5109619,325.8381277,14.88384284,450,female,meat,70-79
640,meat50-99_male_20-29,7.373675904,9.391881901,21269.79387,33.70558904,1.273907971,0.505699447,187.5420415,782.5294329,35.25322156,3.623587061,4.962641147,12092.31984,16.73746436,0.68901896,0.260148305,109.5861991,408.8788634,18.40368275,151,male,meat,20-29
640,meat50-99_male_30-39,7.546866929,9.857192315,21744.78499,34.96344693,1.36136534,0.52442392,210.9077378,795.1605445,36.15934607,3.742138271,4.998776838,12372.09149,17.10656573,0.720641609,0.268217752,137.5952662,424.8411357,19.20301385,304,male,meat,30-39
640,meat50-99_male_40-49,7.311107185,10.00706705,20078.12669,34.10200636,1.372011849,0.500376712,201.6964345,721.0679805,34.12109738,3.270154487,4.929012903,10266.76222,15.34625928,0.639104227,0.241681422,125.1588644,356.598287,15.85202193,663,male,meat,40-49
640,meat50-99_male_50-59,6.977226243,9.481920536,18087.32961,33.09547,1.335475156,0.456192701,192.3932676,680.6991662,32.90198086,3.179978202,4.980502194,8823.183802,15.32346954,0.673433815,0.223640465,131.1506483,326.8483492,15.31296043,671,male,meat,50-59
640,meat50-99_male_60-69,7.21063749,9.807505387,19259.75773,34.26900891,1.396975245,0.481756877,206.2794946,706.8933852,33.56878132,3.090893443,4.824273784,9530.010572,15.09154681,0.644172496,0.225183365,137.4156014,343.2321436,14.75142649,634,male,meat,60-69
640,meat50-99_male_70-79,7.414735839,10.30352856,19877.85123,35.84632712,1.506669892,0.481683722,213.1440685,720.3140706,33.9627583,2.948903411,4.678082358,9444.128052,14.59947348,0.698400615,0.205313321,114.4698717,321.9131383,14.13293768,231,male,meat,70-79
640,vegan_female_20-29,2.178480206,3.118673682,10775.5024,9.573559789,0.103243204,0.181090955,69.43597536,389.2219051,11.01051896,1.475025328,2.058204602,8185.784719,6.310304376,0.107691547,0.125432549,63.26371752,312.998794,8.393499396,487,female,vegan,20-29
640,vegan_female_30-39,2.401644794,3.369287803,11007.5994,10.29674297,0.120776651,0.20228955,83.83922197,408.464083,11.97501589,1.581781269,2.126388337,7492.577671,6.466341018,0.170333944,0.144895386,92.0602733,267.0889813,7.995481746,376,female,vegan,30-39
640,vegan_female_40-49,2.520139911,3.661181134,12395.975,10.96384895,0.127139607,0.201277998,79.55149502,441.7242027,12.964761,1.741293073,2.470965176,10370.20647,7.457736788,0.13603847,0.13632312,61.66051654,367.0364887,10.06249161,219,female,vegan,40-49
640,vegan_female_50-59,2.550921763,3.769334441,12018.00461,11.60710288,0.110561291,0.216635834,87.47680878,439.1283529,13.6849098,1.674861359,2.686733362,9002.358377,7.80719349,0.104803348,0.144520504,75.87625733,321.0557611,10.07815599,106,female,vegan,50-59
640,vegan_female_60-69,2.674521941,4.020708257,13086.99044,12.2392606,0.108409091,0.224950463,88.67748103,465.7578339,14.488996,1.699720287,2.994934979,10261.43851,8.280872903,0.11135716,0.142782882,66.84481102,365.058508,10.12084026,81,female,vegan,60-69
640,vegan_female_70-79,3.005354968,4.400451749,15898.07709,13.13592267,0.160740849,0.231207285,104.2694513,561.4941006,14.68556668,2.4552166,3.549930753,14329.41254,10.43127787,0.182051175,0.209291787,117.1606755,484.7912344,12.16797467,25,female,vegan,70-79
640,vegan_male_20-29,3.235262452,4.635723085,18494.69267,13.81155605,0.162218067,0.265851503,96.10692535,613.1146249,15.34242559,2.419046563,3.438503801,13772.91532,9.755181538,0.332478694,0.250268814,99.35308578,445.6610622,11.95181741,198,male,vegan,20-29
640,vegan_male_30-39,2.874934863,4.011024706,15825.54519,11.71836514,0.134440945,0.232770909,100.3001467,529.6335133,13.71803952,1.984795433,2.781703798,12969.60593,7.787895094,0.126224534,0.179829491,113.5768283,454.6412671,10.23842024,251,male,vegan,30-39
640,vegan_male_40-49,2.793661191,4.08122733,13767.53093,11.75964365,0.134142964,0.230959065,99.37850083,473.0296213,13.33809579,1.763132983,2.776491383,8901.988385,7.444254582,0.149052854,0.15996608,99.66551092,308.0867267,8.754875886,165,male,vegan,40-49
640,vegan_male_50-59,2.499606546,3.787103499,12773.54709,11.73820401,0.123048219,0.212211954,89.56309249,432.7966223,12.58691512,1.365160193,2.44299644,8564.148781,7.386433221,0.112173858,0.131505112,87.15521422,271.4501211,6.237961114,62,male,vegan,50-59
640,vegan_male_60-69,2.677875897,4.158597502,16535.67871,12.07815003,0.098675681,0.232073875,95.72297609,558.6665097,13.9866253,1.679584437,2.854319103,12761.74155,7.060960719,0.090555865,0.157489109,93.11901553,453.894435,9.252451867,52,male,vegan,60-69
640,vegan_male_70-79,2.584481786,4.168641917,15049.78012,11.26050745,0.131134674,0.213341609,95.37831726,479.334466,12.4774855,1.694092882,3.328805091,12110.31848,7.764633346,0.121920467,0.160409198,74.73013803,324.7225273,8.788032892,19,male,vegan,70-79
640,veggie_female_20-29,4.120116743,4.990545097,12201.67003,16.88357719,0.542415954,0.254949123,129.5172466,466.1801655,21.65568725,2.419605204,3.041618036,7329.608032,9.880928009,0.368435295,0.155113926,89.97030156,273.3866728,13.27165,3752,female,veggie,20-29
640,veggie_female_30-39,4.202659554,5.033505118,12525.09036,17.01710008,0.551089379,0.261153929,137.4132922,478.9289398,22.24373724,2.441011297,3.051924989,7495.363496,9.831284512,0.388583237,0.1596335,103.8547971,275.250686,13.24440938,3634,female,veggie,30-39
640,veggie_female_40-49,4.267577353,5.119140254,12453.53862,17.3695907,0.546639836,0.258596042,139.428498,481.8068166,22.96870494,2.437983464,3.07492152,7388.288798,9.940264261,0.38312268,0.158679693,105.0968133,277.0914094,13.50675684,2696,female,veggie,40-49
640,veggie_female_50-59,4.265278947,5.118948391,12832.91707,17.44967319,0.526624101,0.264690788,138.3924258,495.0492447,23.37920904,2.41079177,3.040336127,7698.828074,9.735737409,0.356611219,0.156292162,95.10689901,286.0448178,13.49059399,1203,female,veggie,50-59
640,veggie_female_60-69,4.563759885,5.529459738,13876.77141,18.70843676,0.584050825,0.282620955,156.0752526,531.5936003,24.93303468,2.614704939,3.298617403,8146.236434,10.48142826,0.384741312,0.176026746,114.4095601,312.1128425,14.41469136,536,female,veggie,60-69
640,veggie_female_70-79,4.698579345,5.930933133,15228.12137,19.82295635,0.633649009,0.29530618,169.2163647,550.8830419,26.05850094,2.564198478,3.277284146,8727.829974,10.75970237,0.403171688,0.170943156,110.65784,309.3727521,14.83054665,289,female,veggie,70-79
640,veggie_male_20-29,5.631879048,6.618726339,18117.62784,22.41875225,0.759634992,0.342595064,168.4144349,642.8428447,28.86780824,3.374668757,3.896892353,11293.89894,13.25022868,0.554095867,0.211482858,129.8610278,395.0388066,18.19325591,646,male,veggie,20-29
